
5872,6880,7840,8624,9184,9600,9920,10080,10192,10304,10400,10400,10432,10464,10512,10496,10496,10496,10496,10608,10528,10528,10576,10576,10560,10560,10624,10624,10576,10576,10576,10720,10736,10736,10752,10800,10816,10832,10832,10896,10896,10928,10992,11008,11024,11072,11088,11088,11104,11120,11152,11184,11264,11264,11296,11296,11312,11312,11344,11376,11440,11472,11440,11472,11488,11552,11552,11664,11664,11680,11712,11712,11760,11792,11888,11936,11952,12016,12032,12144,12176,12144,12192,12224,12256,12304,12336,12336,12368,12384,12528,12528,12560,12608,12688,12704,12704,12800,12832,12896,12944,12944,12992,13056,13104,13104,13120,13216,13216,13232,13376,13376,13376,13376,13424,13440,13440,13408,13296,13136,12912,12800,12800,12896,12896,12928,12928,12336,12336,12432,12688,12752,12832,13008,13168,13232,13376,13520,13600,13712,13776,13808,13872,13888,14048,14128,14128,14192,14240,14400,14464,14496,14544,14624,14624,14656,14736,14736,14800,14800,14832,14864,14928,14912,14928,14960,14976,15024,15072,15072,15136,15264,15264,15200,15200,15216,15216,15280,15248,15216,15248,15248,15232,15232,15184,15104,15056,15024,15024,14976,14976,14928,14928,14928,14880,14864,14848,14832,14656,14640,14496,14416,14320,14208,14176,14144,14000,13872,13696,13568,13344,13008,12576,12048,11408,10720,9664,8848,7888,7152,6480,6480
5872,6880,7840,8624,9184,9600,9920,10080,10192,10304,10400,10432,10400,10512,10464,10528,10496,10496,10208,10608,10512,10528,10592,10576,10560,10512,10624,10656,10576,10576,10544,10720,10736,10752,10720,10800,10816,10832,10896,10896,10896,10928,10992,11008,11024,11072,11104,11088,11104,11120,11152,11184,11264,11296,11216,11344,11296,11312,11344,11376,11472,11440,11472,11472,11568,11488,11552,11664,11680,11632,11712,11760,11744,11792,11888,11936,11952,12016,12032,12176,12144,12192,12176,12256,12224,12304,12336,12368,12336,12384,12528,12560,12560,12688,12608,12704,12704,12800,12832,12896,12944,12992,12944,13056,13120,13104,13120,13216,13232,13200,13392,13376,13344,13376,13424,13456,13440,13408,13296,13136,12912,12800,12672,12896,12896,12992,12928,12336,12080,12432,12688,12752,12832,13008,13168,13232,13376,13520,13600,13712,13776,13808,13872,13888,14048,14128,14128,14240,14192,14400,14464,14496,14544,14624,14624,14752,14656,14736,14800,14832,14768,14944,14864,14928,14912,14976,14960,15024,15072,15136,15136,15312,15264,15200,15168,15216,15280,15280,15216,15248,15248,15152,15248,15232,15184,15104,15024,15056,15024,14976,14896,14976,14928,14960,14880,14848,14864,14832,14656,14640,14496,14416,14320,14208,14176,14144,14000,13872,13696,13568,13344,13008,12576,12048,11408,10720,9664,8848,7888,7152,6480,5840
5792,6768,7680,8336,8896,9296,9616,9760,9920,10032,10080,10000,10048,10128,10112,10112,10144,10208,10176,10208,10128,10160,10160,10224,10192,10240,10224,10160,10192,10256,10320,10304,10272,10336,10352,10416,10448,10448,10464,10512,10544,10608,10640,10640,10624,10688,10720,10752,10816,10768,10736,10864,10864,10928,10768,10896,10928,10928,10960,11024,11040,11056,11120,11088,11152,11232,11200,11184,11168,11248,11296,11328,11376,11376,11456,11504,11552,11648,11664,11728,11728,11792,11840,11872,11872,11888,11888,12016,11952,12048,12112,12112,12112,12208,12256,12208,12272,12352,12352,12384,12416,12496,12480,12528,12576,12608,12688,12736,12768,12768,12848,12896,12896,12960,12880,12976,12992,12976,12848,12656,12448,12432,12336,12400,12496,12592,12496,12000,11776,12112,12320,12368,12416,12576,12720,12832,12944,13024,13216,13248,13392,13408,13488,13472,13584,13664,13680,13760,13792,13968,13984,14064,14064,14160,14192,14256,14272,14336,14320,14400,14432,14416,14464,14496,14464,14576,14560,14624,14640,14672,14688,14832,14816,14864,14800,14864,14848,14864,14880,14928,14848,14800,14752,14816,14768,14704,14752,14704,14704,14656,14576,14624,14592,14512,14496,14528,14480,14432,14368,14272,14160,14096,13984,13936,13920,13824,13664,13600,13472,13344,13072,12816,12384,11904,11264,10544,9664,8720,8000,7120,6560,5968
5440,6352,7056,7680,8304,8560,8864,8992,9040,9184,9232,9232,9264,9248,9296,9232,9264,9344,9328,9360,9264,9328,9376,9344,9312,9360,9312,9312,9328,9376,9472,9488,9472,9536,9488,9552,9568,9600,9616,9632,9632,9696,9744,9824,9808,9824,9824,9808,9952,9824,9872,9904,10000,9984,9952,10064,10064,10080,10080,10128,10096,10192,10192,10160,10256,10288,10368,10304,10320,10352,10432,10480,10448,10560,10608,10608,10672,10688,10720,10736,10864,10880,10864,10880,11024,10944,10960,10992,11056,11056,11152,11120,11200,11296,11296,11360,11296,11360,11360,11472,11488,11520,11536,11600,11664,11696,11744,11696,11744,11808,11840,11872,11904,11936,11936,12000,12016,11968,11856,11776,11600,11408,11408,11536,11488,11680,11520,11136,10880,11232,11440,11488,11552,11712,11776,11968,12016,12096,12240,12304,12352,12432,12544,12544,12576,12640,12720,12784,12752,12880,13056,13072,13024,12992,13120,13216,13216,13280,13248,13376,13344,13424,13392,13424,13504,13584,13568,13584,13616,13616,13744,13808,13760,13760,13760,13856,13808,13856,13824,13872,13824,13776,13792,13744,13664,13680,13728,13696,13632,13712,13600,13616,13584,13568,13488,13488,13424,13504,13376,13344,13232,13216,13072,12992,12960,12928,12800,12672,12528,12416,12192,11920,11616,11168,10560,9984,9008,8192,7584,6752,6208,5696
5152,5936,6512,7104,7536,7856,8080,8224,8288,8384,8384,8384,8416,8496,8464,8512,8496,8560,8496,8560,8496,8512,8608,8560,8544,8576,8608,8576,8592,8656,8640,8672,8704,8704,8704,8784,8784,8816,8784,8848,8848,8960,8960,8976,9040,9024,9008,9040,9088,9056,9024,9056,9152,9232,9200,9216,9216,9264,9296,9248,9248,9312,9312,9360,9376,9472,9472,9488,9520,9472,9568,9584,9584,9664,9744,9760,9792,9856,9920,9888,9936,9968,10016,10000,10096,10064,10064,10192,10160,10224,10304,10304,10304,10384,10336,10432,10448,10512,10512,10608,10608,10640,10704,10704,10704,10784,10832,10816,10896,10912,10928,10960,10960,11056,11088,11088,11120,11072,11024,10864,10736,10624,10528,10720,10704,10800,10736,10400,10176,10480,10592,10704,10736,10880,10992,11088,11248,11264,11328,11456,11456,11552,11584,11648,11696,11744,11776,11872,11888,12016,12160,12160,12224,12176,12176,12208,12320,12304,12320,12416,12400,12480,12480,12528,12544,12624,12608,12640,12592,12688,12784,12832,12832,12784,12832,12880,12816,12848,12880,12880,12912,12928,12944,12848,12848,12864,12784,12816,12752,12816,12688,12832,12672,12800,12672,12720,12688,12688,12528,12560,12368,12320,12272,12224,12160,12192,12064,11952,11888,11712,11520,11312,11008,10624,10032,9424,8688,7984,7264,6640,6016,5536
4736,5376,5904,6288,6720,6912,7040,7200,7248,7280,7296,7360,7392,7376,7424,7344,7392,7456,7456,7488,7440,7440,7504,7424,7488,7504,7520,7488,7536,7568,7520,7584,7552,7632,7632,7632,7696,7712,7680,7744,7712,7776,7776,7840,7856,7888,7872,7936,7888,7904,7904,7968,8000,8016,8000,8048,8064,8144,8112,8192,8176,8208,8224,8224,8208,8304,8240,8272,8304,8352,8400,8432,8400,8448,8544,8656,8592,8592,8672,8736,8752,8768,8816,8816,8864,8848,8832,8928,8880,8912,8944,9008,9104,9152,9136,9168,9136,9264,9248,9392,9280,9424,9376,9424,9456,9488,9536,9584,9600,9648,9664,9712,9744,9808,9744,9760,9840,9856,9776,9632,9520,9472,9360,9520,9536,9568,9552,9248,9056,9248,9328,9456,9552,9680,9792,9808,9952,10016,10096,10112,10144,10256,10352,10368,10384,10400,10496,10624,10608,10752,10768,10832,10800,10896,10912,10912,10912,10944,11040,10992,11056,11104,11168,11184,11232,11264,11216,11312,11296,11312,11440,11456,11472,11504,11456,11488,11552,11520,11552,11552,11520,11504,11584,11568,11504,11440,11536,11408,11392,11488,11456,11424,11520,11536,11488,11488,11344,11344,11312,11344,11200,11184,11040,11056,10976,11024,10880,10800,10704,10656,10464,10256,9968,9616,9104,8640,8000,7328,6704,6064,5552,5168
4528,5040,5424,5808,6080,6224,6384,6512,6528,6544,6560,6608,6576,6624,6624,6608,6640,6640,6672,6672,6720,6704,6688,6688,6672,6688,6688,6720,6672,6768,6720,6752,6784,6816,6752,6800,6848,6864,6832,6928,6896,6960,6896,6976,6912,6960,7008,6992,7056,7040,7040,7120,7072,7104,7088,7152,7200,7200,7184,7264,7296,7216,7248,7264,7312,7344,7280,7408,7392,7376,7424,7408,7456,7504,7568,7568,7536,7520,7600,7664,7664,7712,7744,7792,7744,7808,7840,7904,7840,7952,7904,7920,8000,7984,8048,8112,8000,8080,8144,8192,8224,8256,8272,8304,8272,8288,8400,8432,8448,8496,8464,8528,8464,8528,8496,8656,8624,8624,8560,8464,8368,8352,8256,8368,8384,8368,8400,8176,8048,8224,8304,8336,8448,8576,8592,8720,8736,8880,8864,8896,8960,9008,9152,9056,9152,9248,9264,9296,9360,9456,9472,9504,9520,9600,9568,9616,9632,9616,9680,9712,9712,9792,9824,9888,9856,9888,9952,9968,9968,10048,10000,10128,10112,10112,10144,10192,10208,10192,10176,10224,10176,10208,10192,10208,10144,10192,10192,10144,10128,10160,10144,10160,10192,10176,10144,10160,10144,10160,10144,10032,10000,9968,9920,9904,9808,9824,9808,9760,9568,9568,9392,9296,9040,8752,8384,7984,7344,6848,6272,5808,5312,4960
4288,4672,5008,5312,5488,5712,5808,5888,5936,5952,5968,5936,5968,6032,6016,5968,6032,6000,6000,6000,6048,5968,5968,6016,5984,5984,5968,5968,6064,6048,6080,6048,6048,6096,6048,6096,6128,6096,6128,6208,6128,6208,6176,6240,6192,6208,6240,6272,6240,6336,6320,6288,6256,6352,6304,6336,6336,6400,6384,6400,6416,6416,6384,6432,6448,6464,6496,6480,6528,6528,6544,6448,6496,6576,6592,6624,6640,6640,6704,6672,6672,6736,6704,6736,6768,6784,6816,6800,6864,6912,6832,6880,6896,6944,6960,6992,6976,7024,7024,7088,7088,7088,7072,7152,7120,7152,7152,7120,7200,7280,7168,7328,7200,7248,7296,7376,7344,7280,7296,7216,7104,7184,7040,7152,7136,7232,7168,6960,6848,6992,7040,7120,7200,7216,7280,7280,7344,7504,7504,7552,7632,7552,7616,7664,7664,7760,7728,7808,7872,7888,7920,8000,7872,7968,8000,7968,7984,8032,8112,8064,8128,8144,8192,8176,8144,8272,8272,8304,8256,8304,8304,8352,8400,8384,8384,8448,8464,8480,8384,8352,8416,8480,8480,8464,8384,8416,8384,8464,8416,8400,8448,8416,8432,8336,8352,8416,8352,8384,8352,8320,8272,8240,8224,8192,8144,8112,8160,8064,7920,7920,7776,7696,7488,7280,7024,6704,6192,5904,5504,5104,4736,4496
4272,4624,4928,5232,5456,5584,5744,5760,5792,5920,5824,5872,5904,5936,5920,5872,5952,5952,5952,5952,5968,5936,5936,5936,5888,5968,5888,5968,5952,6000,5936,5920,6048,6016,5984,5968,6032,6032,6016,6096,6032,6080,6048,6112,6128,6128,6144,6160,6128,6192,6208,6128,6192,6208,6160,6192,6240,6192,6192,6288,6240,6320,6240,6320,6400,6336,6384,6272,6352,6352,6384,6304,6304,6432,6416,6480,6512,6512,6512,6560,6528,6544,6560,6544,6592,6640,6624,6640,6656,6656,6720,6688,6672,6736,6656,6736,6720,6784,6768,6816,6800,6880,6880,6864,6912,6960,6928,6928,6960,6912,6960,7008,7008,7008,7024,7072,7024,7024,6944,6960,6816,6800,6720,6880,6800,6912,6896,6672,6592,6672,6768,6816,6832,6896,6960,6912,6976,7200,7136,7168,7184,7168,7264,7248,7296,7360,7344,7344,7504,7424,7456,7488,7440,7520,7456,7520,7472,7568,7552,7584,7600,7584,7664,7632,7600,7696,7712,7696,7696,7776,7680,7744,7760,7792,7728,7824,7776,7776,7840,7776,7808,7792,7824,7792,7728,7792,7792,7760,7760,7792,7696,7712,7712,7712,7696,7728,7616,7632,7632,7664,7648,7520,7520,7504,7440,7392,7440,7344,7280,7280,7136,7040,6800,6672,6496,6208,5840,5584,5184,4864,4624,4352
4272,4624,4928,5216,5392,5664,5680,5744,5808,5888,5840,5872,5856,5840,5856,5856,5840,5904,5872,5872,5872,5888,5936,5936,5888,5856,5824,5888,5920,5904,5968,5888,5952,5936,5888,6000,5936,5952,6016,6032,5968,6064,5936,6048,6064,6032,6064,6064,6096,6096,6112,6096,6096,6112,6144,6144,6144,6144,6160,6144,6192,6160,6208,6240,6272,6272,6224,6208,6192,6320,6288,6272,6288,6320,6320,6432,6416,6448,6400,6416,6400,6480,6464,6448,6528,6512,6496,6544,6528,6640,6608,6624,6576,6592,6576,6656,6608,6704,6688,6672,6672,6720,6736,6704,6704,6864,6720,6848,6800,6768,6784,6864,6848,6912,6928,6896,6976,6832,6816,6768,6672,6656,6624,6784,6720,6768,6704,6528,6416,6560,6544,6608,6672,6752,6816,6784,6848,6976,6896,6960,6960,7024,7040,7040,7056,7168,7104,7184,7184,7184,7232,7328,7264,7344,7232,7296,7312,7376,7344,7376,7296,7392,7408,7344,7344,7392,7424,7424,7504,7472,7504,7376,7520,7504,7536,7520,7424,7536,7584,7552,7472,7536,7456,7568,7520,7456,7472,7536,7488,7424,7424,7376,7376,7392,7456,7408,7360,7360,7264,7264,7296,7232,7184,7168,7152,7168,7136,7040,7024,6896,6832,6736,6544,6432,6176,5952,5632,5344,4944,4720,4496,4272
4176,4592,4992,5200,5424,5632,5648,5712,5760,5840,5824,5856,5808,5792,5872,5856,5824,5872,5824,5888,5840,5872,5872,5856,5888,5824,5824,5888,5920,5888,5920,5920,5904,5920,5888,5968,5888,6048,5968,5984,6000,5968,5984,6048,6048,6032,6000,6032,6112,6096,6096,6144,6096,6080,6080,6160,6096,6176,6112,6160,6176,6192,6192,6208,6256,6224,6176,6272,6240,6240,6224,6272,6272,6288,6272,6384,6384,6448,6432,6432,6416,6464,6464,6496,6528,6512,6464,6544,6544,6560,6592,6592,6624,6640,6608,6640,6624,6720,6736,6736,6624,6720,6736,6784,6752,6784,6752,6832,6752,6816,6880,6912,6880,6896,6912,6944,6912,6864,6768,6784,6720,6720,6576,6688,6624,6720,6704,6496,6464,6576,6560,6672,6672,6768,6800,6848,6816,6928,7008,7024,6992,6992,7056,7104,7072,7136,7152,7152,7120,7168,7216,7328,7280,7392,7296,7328,7360,7360,7328,7408,7280,7392,7344,7392,7392,7424,7456,7536,7536,7472,7568,7552,7488,7536,7520,7552,7520,7520,7536,7600,7472,7552,7504,7536,7488,7504,7456,7488,7392,7424,7472,7456,7408,7424,7456,7440,7360,7360,7312,7360,7296,7152,7184,7200,7152,7168,7104,7072,7040,6944,6848,6736,6528,6480,6176,5968,5680,5360,4960,4640,4448,4176
4176,4640,4976,5280,5408,5536,5680,5696,5776,5824,5776,5840,5824,5856,5808,5856,5808,5904,5872,5872,5856,5920,5872,5856,5824,5856,5904,5904,5904,5824,5888,5888,5920,5936,5936,5952,5968,5952,6000,6000,5984,5984,6016,6064,6032,6016,6096,6096,6112,6064,6048,6144,6096,6160,6128,6208,6176,6160,6176,6160,6192,6192,6240,6240,6208,6240,6208,6176,6272,6224,6224,6336,6304,6320,6352,6400,6368,6352,6368,6416,6416,6448,6432,6528,6480,6560,6480,6528,6480,6576,6544,6592,6592,6656,6592,6640,6592,6640,6640,6720,6640,6768,6672,6720,6736,6816,6800,6896,6800,6800,6832,6816,6848,6848,6864,6896,6928,6848,6768,6800,6688,6608,6576,6688,6608,6736,6720,6512,6496,6544,6592,6608,6672,6752,6752,6784,6832,6848,6960,6960,6896,7040,6992,7040,7056,7120,7104,7184,7088,7152,7232,7264,7232,7296,7216,7328,7312,7296,7280,7328,7328,7376,7360,7456,7360,7424,7424,7408,7408,7392,7424,7440,7520,7504,7536,7536,7488,7536,7504,7536,7456,7520,7440,7472,7392,7408,7440,7408,7440,7392,7408,7328,7328,7376,7168,7312,7296,7328,7296,7328,7200,7216,7104,7136,7072,7136,7024,7024,7008,6864,6816,6688,6544,6416,6160,6000,5584,5344,4960,4688,4384,4192
4224,4560,4960,5232,5440,5568,5696,5760,5760,5856,5840,5824,5888,5904,5872,5888,5872,5920,5888,5856,5856,5936,5920,5920,5808,5856,5888,5872,5840,5888,5888,5904,5952,5920,5968,5936,5952,5984,5984,6080,6032,5984,6000,6080,6064,6096,6064,6160,6080,6160,6048,6128,6128,6176,6128,6160,6160,6176,6224,6176,6160,6256,6256,6192,6256,6272,6320,6272,6240,6320,6320,6320,6320,6352,6368,6432,6400,6464,6416,6416,6496,6416,6496,6544,6512,6576,6528,6640,6592,6560,6576,6608,6608,6608,6640,6704,6656,6640,6688,6752,6704,6720,6720,6656,6752,6880,6848,6848,6864,6864,6880,6928,6880,6928,6880,6976,6960,6864,6832,6864,6736,6736,6624,6672,6688,6720,6704,6480,6448,6560,6672,6640,6672,6816,6768,6816,6896,6992,6976,7040,6992,7072,7056,7104,7120,7152,7152,7168,7200,7216,7264,7264,7296,7328,7296,7376,7328,7328,7344,7376,7344,7440,7440,7536,7456,7456,7440,7520,7440,7472,7488,7488,7536,7568,7536,7584,7520,7536,7568,7552,7552,7520,7488,7536,7472,7504,7488,7440,7472,7456,7440,7392,7376,7488,7360,7392,7360,7392,7376,7312,7232,7232,7216,7168,7104,7136,7072,7088,7024,6928,6848,6784,6656,6464,6208,5984,5680,5312,5040,4736,4448,4256
4160,4544,4928,5184,5392,5568,5680,5728,5744,5776,5776,5808,5856,5824,5856,5792,5792,5936,5856,5808,5840,5872,5904,5840,5792,5888,5904,5872,5760,5872,5904,5872,5920,5888,5920,5968,5904,5920,5904,5968,5920,5936,5984,6016,5936,6016,6016,6032,6016,6032,6032,6048,6064,6128,6096,6080,6112,6112,6176,6128,6176,6208,6176,6176,6208,6240,6192,6224,6224,6256,6224,6224,6272,6304,6304,6336,6368,6400,6336,6448,6336,6464,6432,6448,6448,6544,6464,6512,6512,6496,6560,6496,6560,6592,6512,6592,6608,6624,6704,6672,6640,6672,6672,6640,6672,6720,6832,6736,6752,6816,6848,6832,6816,6864,6864,6848,6848,6832,6752,6768,6672,6576,6512,6592,6640,6688,6640,6448,6400,6512,6528,6640,6608,6672,6736,6720,6784,6912,6848,6928,6976,6928,7008,7024,7040,7088,7072,7088,7104,7216,7184,7184,7248,7264,7200,7312,7232,7264,7248,7264,7280,7296,7280,7312,7312,7312,7296,7424,7408,7456,7392,7504,7424,7488,7440,7440,7440,7488,7440,7488,7408,7440,7424,7424,7440,7424,7360,7376,7392,7408,7376,7296,7280,7376,7328,7312,7280,7280,7264,7216,7200,7152,7088,7152,7008,7104,6992,6992,6928,6912,6784,6720,6560,6432,6192,5888,5568,5232,4928,4624,4368,4224
4272,4608,4960,5280,5408,5600,5664,5744,5744,5840,5856,5872,5920,5904,5872,5840,5888,5888,5920,5936,5872,5872,5920,5872,5888,5968,5856,5888,5904,5888,5904,5936,5968,5984,5920,6016,5984,5984,5984,6032,6032,6096,6112,6064,6048,6064,6048,6080,6048,6096,6112,6160,6128,6176,6160,6176,6176,6192,6208,6224,6208,6208,6288,6240,6256,6336,6272,6304,6288,6336,6320,6320,6352,6416,6368,6448,6416,6528,6416,6496,6432,6512,6528,6528,6512,6624,6560,6560,6592,6576,6640,6672,6672,6704,6608,6736,6672,6720,6736,6736,6736,6816,6752,6800,6768,6832,6880,6816,6832,6896,6928,6928,6912,6944,6896,6976,6896,6944,6944,6784,6784,6720,6656,6704,6688,6816,6736,6560,6512,6608,6640,6736,6752,6800,6800,6880,6896,7008,6992,7008,7008,7088,7056,7088,7136,7120,7136,7184,7232,7280,7264,7328,7328,7312,7328,7440,7392,7360,7312,7408,7392,7440,7408,7488,7472,7504,7424,7504,7520,7472,7472,7536,7488,7520,7504,7568,7552,7568,7568,7536,7536,7520,7568,7520,7584,7520,7520,7488,7472,7504,7504,7520,7472,7488,7472,7424,7344,7360,7392,7296,7280,7232,7216,7184,7152,7168,7104,7056,7056,7024,6912,6832,6656,6464,6208,6048,5632,5408,4992,4704,4448,4240
4160,4512,4864,5184,5424,5488,5568,5664,5744,5760,5760,5808,5808,5792,5792,5840,5840,5744,5824,5792,5792,5792,5840,5808,5856,5904,5872,5856,5856,5872,5872,5872,5872,5936,5936,5872,5888,5936,5920,5936,5936,6016,6032,5968,6032,5984,6000,6064,6016,6048,6000,6032,6096,6080,6128,6144,6064,6080,6128,6208,6096,6128,6176,6176,6192,6192,6240,6224,6192,6272,6240,6176,6240,6336,6304,6336,6288,6352,6400,6464,6432,6400,6416,6416,6432,6480,6496,6512,6480,6512,6496,6528,6560,6624,6544,6592,6640,6624,6656,6672,6672,6768,6672,6720,6688,6800,6752,6784,6720,6800,6736,6784,6768,6752,6784,6896,6784,6816,6800,6752,6624,6672,6464,6592,6656,6688,6624,6448,6384,6464,6560,6560,6640,6640,6720,6720,6768,6864,6896,6976,6896,6912,6928,6976,6976,7072,7120,7120,7104,7120,7200,7216,7200,7264,7248,7216,7280,7232,7216,7392,7344,7328,7312,7328,7312,7328,7344,7328,7344,7424,7392,7376,7392,7440,7344,7408,7408,7392,7424,7408,7424,7392,7392,7392,7456,7392,7408,7408,7312,7408,7344,7392,7392,7344,7328,7296,7296,7248,7232,7216,7152,7152,7072,7088,7008,7056,7040,6976,6912,6864,6848,6640,6464,6320,6208,5920,5584,5216,4912,4640,4352,4224
